created,paid,refunded,customer,card__country
2020-10-21T04:45:40Z,250,250,cus_IF3JcGrw0aMpgv,US
2020-10-27T23:02:31Z,250,250,cus_IHaMqtFwUNAO09,US
2020-11-01T02:42:43Z,250,250,cus_IJ8oU3Lo2gaHls,DE
2020-11-17T19:51:25Z,750,0,cus_HbD8AagiDUOBoG,US
2020-11-17T21:28:58Z,250,0,cus_IDnbmEhzNjlGV0,GB
2020-11-17T22:00:05Z,250,0,cus_IPOi2mODKj9VxK,GB
2020-11-17T22:18:09Z,250,0,cus_FH0Csodtt6j0ff,US
2020-11-17T23:05:19Z,1000,0,cus_IBtiU1rmRe2oKe,US
2020-11-17T23:06:20Z,250,0,cus_IFGe6elQiZ5nmG,US
2020-11-17T23:12:04Z,250,0,cus_IPSFRhCvHRLSEz,AU
2020-12-04T06:29:28Z,31,0,cus_Hu0bpPwajQ2UyQ,AU
2020-11-17T23:15:13Z,250,0,cus_HU7mko557uvzEL,DE
2020-11-17T23:16:10Z,250,0,cus_HU7mjthwgY1WdN,US
2020-11-17T23:24:46Z,250,0,cus_HfMhqQsQ66d74e,US
2020-11-18T00:52:48Z,250,0,cus_Hr07hsOdspdDjP,US
2020-11-18T01:06:00Z,140,0,cus_HeVdRRDdeT0Reo,US
2020-11-18T01:59:04Z,250,0,cus_I2dCn1QzeR6piu,US
2020-11-18T03:18:06Z,250,0,cus_Hr07hsOdspdDjP,US
2020-11-18T05:18:37Z,250,0,cus_IPYAtoZIBgDpZv,US
2020-11-18T05:41:20Z,250,0,cus_IPYWFvm4H8BKR5,US
2020-11-18T07:23:37Z,250,0,cus_IPaBLJmIuD2eN8,AU
2020-11-18T07:49:22Z,250,0,cus_I2iqx77roDhsvr,AU
2020-11-18T13:24:02Z,250,0,cus_HrCFv5672eVNy2,US
2020-11-18T14:35:40Z,250,0,cus_HrDO9utgMx6kGZ,US
2020-11-18T14:51:42Z,250,0,cus_IPhPHTCGb1mwPX,US
2020-11-18T14:52:37Z,2000,0,cus_IPhQKssLqPRtji,US
2020-11-18T15:00:18Z,250,0,cus_IPhXMnz7mbSkIr,FR
2020-11-18T15:30:24Z,262,0,cus_I2qFY6yixgMXlE,CA
2020-11-18T15:50:14Z,250,0,cus_HrCFv5672eVNy2,US
2020-11-18T16:39:15Z,500,0,cus_HwvY1q4R2CZMIc,US
2020-11-18T16:28:28Z,250,0,cus_IPiyB3cwE3bdep,US
2020-11-17T16:48:07Z,525,0,cus_HuAMgby0dmaLvt,CA
2020-11-17T19:32:53Z,250,0,cus_IPOi2mODKj9VxK,GB
2020-11-27T00:18:13Z,250,0,cus_HikZLaoalk2E2U,AU
2020-11-27T02:35:18Z,250,0,cus_I60ojPtukipJix,US
2020-11-27T05:42:05Z,250,0,cus_ISvZAxfOFWGxJf,AU
2020-11-27T08:12:33Z,250,0,cus_ISy0PHK5aRs7Er,US
2020-11-27T16:15:13Z,250,0,cus_Huc1RekRV1nPtr,US
2020-11-27T18:20:18Z,250,0,cus_IHUpOHOiqpwtdL,US
2020-11-27T19:02:36Z,250,0,cus_IHVUYEcZJyYHiX,US
2020-10-12T16:12:15Z,250,250,cus_IBrLMv56SXSuvO,US
2020-11-04T06:41:06Z,262,262,cus_IKKK06YE3UDPkS,CA
2020-11-08T08:04:01Z,250,250,cus_ILqZH5Ymzgo1R5,AU
2020-11-08T16:20:37Z,262,262,cus_ILBTbvrwQSN69i,CA
2020-11-10T16:53:16Z,250,250,cus_IMjYFmBTXXcXxA,US
2020-11-12T17:12:59Z,250,250,cus_IBrLMv56SXSuvO,US
2020-11-15T06:54:16Z,500,500,cus_I1aHCDOLlK0r6f,US
2020-11-16T05:17:49Z,262,262,cus_IOnhjOcyUitT2L,CA
2020-11-16T17:17:02Z,250,250,cus_IDMJYpmkSAW946,US
2020-11-18T16:42:25Z,250,0,cus_DHq5FxX9jpGhSM,US
2020-11-18T17:15:34Z,31,0,cus_IKrvw3iF6x7zEH,US
2020-11-18T17:24:16Z,250,0,cus_HdjFFG7nHN1yWU,AU
2020-11-18T17:58:34Z,250,0,cus_IPkQejKtRL8MCN,US
2020-11-18T18:10:04Z,250,0,cus_HrGprdNMbRwD1P,GB
2020-11-18T18:28:00Z,7,0,cus_IKtz1m9IIQQBNn,US
2020-11-18T18:57:51Z,250,0,cus_ICyF8YR9wGcgaQ,US
2020-11-18T18:57:54Z,250,0,cus_DHq5FxX9jpGhSM,US
2020-11-18T19:07:09Z,282,0,cus_IDg2koHX1P8FbT,CA
2020-11-18T19:13:07Z,250,0,cus_IE8a3ya9HcBIQi,US
2020-11-18T19:52:39Z,70,0,cus_HeiNPezJI1Xpl8,US
2020-11-18T20:16:53Z,250,0,cus_HIq6WOHdivtMnS,US
2020-11-18T20:26:03Z,250,0,cus_IE9oFlla1FkBUM,US
2020-11-18T21:22:31Z,52,5,cus_IKtz1m9IIQQBNn,US
2020-11-18T21:35:33Z,250,0,cus_IE8a3ya9HcBIQi,US
2020-11-19T00:09:37Z,282,0,cus_ICIPCJYSmvQKN8,CA
2020-11-19T00:26:34Z,15,0,cus_HjtqV9i6BzW8Nk,AU
2020-11-19T00:46:31Z,500,0,cus_IKrvw3iF6x7zEH,US
2020-11-19T01:27:56Z,250,0,cus_HrNuMhPLfwOR6m,US
2020-11-19T07:24:55Z,250,0,cus_H7m7iowRf0bwEg,US
2020-11-20T14:51:08Z,250,0,cus_IQRqQeUgKlWJ33,US
2020-11-19T11:31:24Z,250,0,cus_IEOQt4W9aVUmBL,FI
2020-11-20T15:30:34Z,250,0,cus_IEVADlOySM8sfw,US
2020-11-19T12:55:51Z,84,0,cus_HeiNPezJI1Xpl8,US
2020-11-19T13:10:23Z,250,0,cus_HjHp7KttZPvmR3,UA
2020-11-19T13:16:08Z,250,0,cus_IQ35JxZsSvfI81,IT
2020-11-20T17:01:35Z,250,0,cus_DHq5FxX9jpGhSM,US
2020-11-20T17:49:54Z,250,250,cus_IQUjiFEJqAfToq,US
2020-11-19T13:45:53Z,250,0,cus_IQ3ZvMJzXVkkjq,IT
2020-11-20T18:16:46Z,250,0,cus_IQVAjSpXrPnqtW,NL
2020-11-20T18:59:32Z,250,0,cus_ICyF8YR9wGcgaQ,US
2020-11-19T15:21:10Z,250,0,cus_HfzLeCozIIIIxZ,US
2020-11-19T15:34:30Z,282,282,cus_IQ5KW7IVPJG8dZ,CA
2020-11-20T19:47:44Z,250,250,cus_Hs2s9SmCxTDpBw,US
2020-11-20T19:42:58Z,250,0,cus_I3enJSYM6YlDyX,US
2020-11-20T20:34:35Z,250,0,cus_IQXOlvI2EMiQW8,US
2020-11-19T16:56:45Z,262,0,cus_IQ6e9SlXJBq2ab,CA
2020-11-19T16:58:07Z,262,0,cus_IETgoDzl2sh6Rq,CA
2020-11-19T17:27:34Z,48,0,cus_HTvZnRQfcTzXww,GB
2020-11-19T17:54:36Z,250,0,cus_IQ7amkAv8W21ts,US
2020-11-20T21:40:44Z,250,0,cus_IEvTPvzwBhGPHp,US
2020-11-19T17:59:00Z,282,282,cus_IQ7e8RoWDQH4tr,CA
2020-11-19T18:26:22Z,250,0,cus_IEV69ig86qGdzK,US
2020-11-19T18:29:44Z,250,0,cus_IEVADlOySM8sfw,US
2020-11-20T22:59:52Z,84,0,cus_Hj1MqcaR2dTjsy,US
2020-11-20T23:04:31Z,70,0,cus_Hj1MqcaR2dTjsy,US
2020-11-20T23:10:11Z,262,0,cus_IEwn7caJafBWBB,CA
2020-11-19T19:28:06Z,700,0,cus_FL04qQlFsLQd6m,US
2020-11-20T23:18:49Z,1000,0,cus_IEx3kNmp51bSH9,US
2020-11-20T23:28:25Z,250,0,cus_IExDc34M1dynp3,US
2020-11-19T19:46:18Z,250,250,cus_IQ9Nj1ROzwyhzH,US
2020-11-19T20:15:29Z,262,0,cus_Hrg6qbUUlulpHN,CA
2020-11-19T20:50:25Z,250,0,cus_IEVADlOySM8sfw,US
2020-11-19T21:38:54Z,282,282,cus_IQBCijv7TO6DeP,CA
2020-11-19T21:51:29Z,250,0,cus_HrheEvB62RPnlZ,US
2020-11-21T02:46:20Z,500,0,cus_IF0OVcEBWCnFTK,US
2020-11-21T03:18:33Z,250,0,cus_Hr07hsOdspdDjP,US
2020-11-21T04:29:18Z,2000,0,cus_HzkkZjYT1Lg1tZ,US
2020-11-21T05:27:11Z,250,0,cus_IF2zxUs4MCePh7,US
2020-11-20T01:42:31Z,250,0,cus_HrlNzFMusI193j,AU
2020-11-21T05:41:19Z,250,0,cus_HJjg7J7aWeouu5,US
2020-11-21T07:54:06Z,250,0,cus_IF2zxUs4MCePh7,US
2020-11-21T09:55:51Z,250,0,cus_FuYGrAPWngyAoB,ES
2020-11-20T05:44:01Z,250,0,cus_H87izySMlrSeGU,US
2020-11-21T10:30:56Z,262,0,cus_I2qFY6yixgMXlE,CA
